"Klokkeslett","Lengde","Bane","Type","Lag 1","Lag 2","Resultat"
"11:00","20:00","Lyngenhallen","Gruppe 1","L/K 2","SIL",""
"11:20","20:00","Lyngenhallen","Gruppe 1","IKIL","NIL 2",""
"11:40","20:00","Lyngenhallen","Gruppe 2","L/K 1","SIK",""
"12:00","20:00","Lyngenhallen","Gruppe 1","SIL","IKIL",""
